show,description
Matilda The Musical,"The show 'Matilda The Musical' ran from 2013-03-10 to 2017-01-01. It had an average weekly revenue of $990,829.26 and a total revenue of $198,165,852.39."
Something Rotten!,"The show 'Something Rotten!' ran from 2015-03-29 to 2017-01-01. It had an average weekly revenue of $790,326.55 and a total revenue of $73,500,369.33."
Heisenberg,"The show 'Heisenberg' ran from 2016-09-25 to 2016-12-11. It had an average weekly revenue of $376,370.50 and a total revenue of $4,516,446.00."
The Cherry Orchard,"The show 'The Cherry Orchard' ran from 1997-11-02 to 2016-12-04. It had an average weekly revenue of $335,676.99 and a total revenue of $4,699,477.80."
Alton Brown Live: Eat Your Science,"The show 'Alton Brown Live: Eat Your Science' ran from 2016-11-27 to 2016-11-27. It had an average weekly revenue of $580,737.70 and a total revenue of $580,737.70."
Kristin Chenoweth: My Love Letter to Broadway,"The show 'Kristin Chenoweth: My Love Letter to Broadway' ran from 2016-11-06 to 2016-11-13. It had an average weekly revenue of $927,479.25 and a total revenue of $1,854,958.50."
Frankie Valli and the Four Seasons On Broadway,"The show 'Frankie Valli and the Four Seasons On Broadway' ran from 2012-10-21 to 2016-10-30. It had an average weekly revenue of $667,814.75 and a total revenue of $2,671,259.00."
Lewis Black: Black to the Future,"The show 'Lewis Black: Black to the Future' ran from 2016-09-18 to 2016-10-30. It had an average weekly revenue of $150,982.17 and a total revenue of $905,893.00."
An American in Paris,"The show 'An American in Paris' ran from 2015-03-15 to 2016-10-09. It had an average weekly revenue of $1,030,593.11 and a total revenue of $85,539,228.50."
Fun Home,"The show 'Fun Home' ran from 2015-03-29 to 2016-09-11. It had an average weekly revenue of $539,228.38 and a total revenue of $41,520,585.08."
An Act of God,"The show 'An Act of God' ran from 2015-05-10 to 2016-09-04. It had an average weekly revenue of $558,911.54 and a total revenue of $15,649,523.10."
The Curious Incident of the Dog in the Night-Time,"The show 'The Curious Incident of the Dog in the Night-Time' ran from 2014-09-14 to 2016-09-04. It had an average weekly revenue of $656,936.86 and a total revenue of $68,321,433.36."
Les Misérables,"The show 'Les Misérables' ran from 1987-03-01 to 2016-09-04. It had an average weekly revenue of $528,518.21 and a total revenue of $548,073,381.99."
Finding Neverland,"The show 'Finding Neverland' ran from 2015-03-15 to 2016-08-21. It had an average weekly revenue of $844,928.05 and a total revenue of $64,214,532.00."
Fully Committed,"The show 'Fully Committed' ran from 2016-04-03 to 2016-07-31. It had an average weekly revenue of $392,703.06 and a total revenue of $7,068,655.14."
Motown The Musical,"The show 'Motown The Musical' ran from 2013-03-17 to 2016-07-31. It had an average weekly revenue of $1,164,209.39 and a total revenue of $115,256,729.50."
Shuffle Along or the Making of the Musical Sensation of 1921 and All That Followed,"The show 'Shuffle Along or the Making of the Musical Sensation of 1921 and All That Followed' ran from 2016-03-20 to 2016-07-24. It had an average weekly revenue of $798,655.03 and a total revenue of $15,174,445.58."
The Crucible,"The show 'The Crucible' ran from 1991-12-01 to 2016-07-17. It had an average weekly revenue of $489,663.90 and a total revenue of $20,076,219.80."
She Loves Me,"The show 'She Loves Me' ran from 1993-05-16 to 2016-07-10. It had an average weekly revenue of $316,348.63 and a total revenue of $22,460,752.90."
Bright Star,"The show 'Bright Star' ran from 2016-02-28 to 2016-06-26. It had an average weekly revenue of $415,249.56 and a total revenue of $7,474,492.00."
The King and I,"The show 'The King and I' ran from 1985-06-09 to 2016-06-26. It had an average weekly revenue of $616,290.77 and a total revenue of $104,153,140.00."
Long Day's Journey Into Night,"The show 'Long Day's Journey Into Night' ran from 1986-04-27 to 2016-06-26. It had an average weekly revenue of $376,124.19 and a total revenue of $18,430,085.50."
Eclipsed,"The show 'Eclipsed' ran from 2016-02-28 to 2016-06-19. It had an average weekly revenue of $337,890.68 and a total revenue of $5,744,141.48."
The Father,"The show 'The Father' ran from 1995-12-17 to 2016-06-19. It had an average weekly revenue of $199,282.77 and a total revenue of $4,583,503.80."
Blackbird,"The show 'Blackbird' ran from 2016-02-07 to 2016-06-12. It had an average weekly revenue of $413,456.34 and a total revenue of $7,855,670.52."
American Psycho,"The show 'American Psycho' ran from 2016-03-27 to 2016-06-05. It had an average weekly revenue of $511,588.99 and a total revenue of $5,627,478.91."
Tuck Everlasting,"The show 'Tuck Everlasting' ran from 2016-04-03 to 2016-05-29. It had an average weekly revenue of $327,104.63 and a total revenue of $2,943,941.64."
Disaster!,"The show 'Disaster!' ran from 2016-02-14 to 2016-05-08. It had an average weekly revenue of $330,263.82 and a total revenue of $4,293,429.62."
Hughie,"The show 'Hughie' ran from 1996-07-28 to 2016-03-27. It had an average weekly revenue of $223,677.89 and a total revenue of $4,697,235.77."
Noises Off,"The show 'Noises Off' ran from 2001-10-21 to 2016-03-13. It had an average weekly revenue of $340,780.99 and a total revenue of $19,765,297.70."
Our Mother's Brief Affair,"The show 'Our Mother's Brief Affair' ran from 2016-01-03 to 2016-03-06. It had an average weekly revenue of $172,774.12 and a total revenue of $1,727,741.20."
A View from the Bridge,"The show 'A View from the Bridge' ran from 1997-11-30 to 2016-02-21. It had an average weekly revenue of $385,651.56 and a total revenue of $25,838,654.51."
Allegiance,"The show 'Allegiance' ran from 2015-10-11 to 2016-02-14. It had an average weekly revenue of $453,400.68 and a total revenue of $8,614,612.94."
Misery,"The show 'Misery' ran from 2015-10-25 to 2016-02-14. It had an average weekly revenue of $736,377.38 and a total revenue of $12,518,415.53."
China Doll,"The show 'China Doll' ran from 2015-10-25 to 2016-01-31. It had an average weekly revenue of $842,044.12 and a total revenue of $12,630,661.74."
King Charles III,"The show 'King Charles III' ran from 2015-10-11 to 2016-01-31. It had an average weekly revenue of $553,624.21 and a total revenue of $9,411,611.57."
Spring Awakening,"The show 'Spring Awakening' ran from 2006-11-19 to 2016-01-24. It had an average weekly revenue of $497,193.95 and a total revenue of $66,623,989.40."
A Gentleman's Guide to Love and Murder,"The show 'A Gentleman's Guide to Love and Murder' ran from 2013-10-27 to 2016-01-17. It had an average weekly revenue of $630,334.46 and a total revenue of $73,749,132.34."
The Gin Game,"The show 'The Gin Game' ran from 1997-04-06 to 2016-01-10. It had an average weekly revenue of $212,967.91 and a total revenue of $7,666,844.60."
Dames at Sea,"The show 'Dames at Sea' ran from 2015-09-27 to 2016-01-03. It had an average weekly revenue of $169,356.93 and a total revenue of $2,540,354.00."
Hand to God,"The show 'Hand to God' ran from 2015-03-15 to 2016-01-03. It had an average weekly revenue of $282,196.14 and a total revenue of $12,134,434.20."
The Illusionists - Live On Broadway,"The show 'The Illusionists - Live On Broadway' ran from 2015-11-22 to 2016-01-03. It had an average weekly revenue of $969,394.36 and a total revenue of $6,785,760.50."
Lord of the Dance: Dangerous Games,"The show 'Lord of the Dance: Dangerous Games' ran from 2015-11-08 to 2016-01-03. It had an average weekly revenue of $401,874.32 and a total revenue of $3,616,868.92."
Sylvia,"The show 'Sylvia' ran from 2015-10-04 to 2016-01-03. It had an average weekly revenue of $318,098.25 and a total revenue of $4,453,375.50."
Thérèse Raquin,"The show 'Thérèse Raquin' ran from 2015-10-04 to 2016-01-03. It had an average weekly revenue of $370,286.50 and a total revenue of $5,184,011.00."
Fool For Love,"The show 'Fool For Love' ran from 2015-09-20 to 2015-12-13. It had an average weekly revenue of $286,296.77 and a total revenue of $3,721,858.00."
Old Times,"The show 'Old Times' ran from 2015-09-20 to 2015-11-29. It had an average weekly revenue of $367,234.09 and a total revenue of $4,039,575.00."
Amazing Grace,"The show 'Amazing Grace' ran from 2015-06-28 to 2015-10-25. It had an average weekly revenue of $307,784.83 and a total revenue of $5,540,127.00."
Hedwig and the Angry Inch,"The show 'Hedwig and the Angry Inch' ran from 2014-03-30 to 2015-09-13. It had an average weekly revenue of $652,719.94 and a total revenue of $50,259,435.00."
Mamma Mia!,"The show 'Mamma Mia!' ran from 2001-10-07 to 2015-09-13. It had an average weekly revenue of $859,114.12 and a total revenue of $622,857,738.00."
On the Town,"The show 'On the Town' ran from 1998-10-25 to 2015-09-06. It had an average weekly revenue of $566,684.22 and a total revenue of $35,701,106.00."
Penn & Teller On Broadway,"The show 'Penn & Teller On Broadway' ran from 2015-07-12 to 2015-08-16. It had an average weekly revenue of $1,303,442.50 and a total revenue of $7,820,655.00."
It Shoulda Been You,"The show 'It Shoulda Been You' ran from 2015-03-22 to 2015-08-09. It had an average weekly revenue of $375,288.19 and a total revenue of $7,881,052.00."
Fish in the Dark,"The show 'Fish in the Dark' ran from 2015-02-08 to 2015-08-02. It had an average weekly revenue of $1,063,572.92 and a total revenue of $27,652,896.00."
On the Twentieth Century,"The show 'On the Twentieth Century' ran from 2015-02-15 to 2015-07-19. It had an average weekly revenue of $491,229.57 and a total revenue of $11,298,280.00."
Wolf Hall: Parts 1 & 2,"The show 'Wolf Hall: Parts 1 & 2' ran from 2015-03-22 to 2015-07-05. It had an average weekly revenue of $623,181.00 and a total revenue of $9,970,896.00."
The Audience,"The show 'The Audience' ran from 2015-02-15 to 2015-06-28. It had an average weekly revenue of $1,103,649.35 and a total revenue of $22,072,987.00."
Gigi,"The show 'Gigi' ran from 2015-03-22 to 2015-06-21. It had an average weekly revenue of $502,001.07 and a total revenue of $7,028,015.00."
Skylight,"The show 'Skylight' ran from 1996-09-15 to 2015-06-21. It had an average weekly revenue of $488,013.17 and a total revenue of $14,640,395.00."
The Visit,"The show 'The Visit' ran from 1992-01-05 to 2015-06-14. It had an average weekly revenue of $152,429.52 and a total revenue of $3,201,020.00."
Airline Highway,"The show 'Airline Highway' ran from 2015-04-05 to 2015-06-07. It had an average weekly revenue of $152,110.50 and a total revenue of $1,521,105.00."
It's Only a Play,"The show 'It's Only a Play' ran from 2014-08-31 to 2015-06-07. It had an average weekly revenue of $914,657.71 and a total revenue of $37,500,966.00."
Doctor Zhivago,"The show 'Doctor Zhivago' ran from 2015-03-29 to 2015-05-10. It had an average weekly revenue of $456,779.57 and a total revenue of $3,197,457.00."
The Heidi Chronicles,"The show 'The Heidi Chronicles' ran from 2015-03-01 to 2015-05-03. It had an average weekly revenue of $325,702.20 and a total revenue of $3,257,022.00."
Living on Love,"The show 'Living on Love' ran from 2015-04-05 to 2015-05-03. It had an average weekly revenue of $162,229.60 and a total revenue of $811,148.00."
Honeymoon in Vegas,"The show 'Honeymoon in Vegas' ran from 2014-11-23 to 2015-04-05. It had an average weekly revenue of $380,476.80 and a total revenue of $7,609,536.00."
If/Then,"The show 'If/Then' ran from 2014-03-09 to 2015-03-22. It had an average weekly revenue of $726,999.11 and a total revenue of $38,530,953.00."
Constellations,"The show 'Constellations' ran from 2014-12-21 to 2015-03-15. It had an average weekly revenue of $510,936.92 and a total revenue of $6,642,180.00."
Disgraced,"The show 'Disgraced' ran from 2014-09-28 to 2015-03-01. It had an average weekly revenue of $371,085.57 and a total revenue of $8,534,968.00."
A Delicate Balance,"The show 'A Delicate Balance' ran from 1996-03-31 to 2015-02-22. It had an average weekly revenue of $409,301.96 and a total revenue of $18,418,588.00."
The Elephant Man,"The show 'The Elephant Man' ran from 2002-03-31 to 2015-02-22. It had an average weekly revenue of $626,612.19 and a total revenue of $16,291,917.00."
You Can't Take It With You,"The show 'You Can't Take It With You' ran from 2014-08-31 to 2015-02-22. It had an average weekly revenue of $508,743.23 and a total revenue of $13,227,324.00."
The River,"The show 'The River' ran from 2014-11-02 to 2015-02-08. It had an average weekly revenue of $721,801.07 and a total revenue of $10,827,016.00."
The Last Ship,"The show 'The Last Ship' ran from 2014-10-05 to 2015-01-25. It had an average weekly revenue of $656,252.18 and a total revenue of $11,156,287.00."
Rock of Ages,"The show 'Rock of Ages' ran from 2009-03-22 to 2015-01-18. It had an average weekly revenue of $437,265.09 and a total revenue of $128,993,202.00."
Cinderella,"The show 'Cinderella' ran from 2013-01-27 to 2015-01-04. It had an average weekly revenue of $864,501.11 and a total revenue of $87,314,612.00."
The Illusionists - Witness the Impossible,"The show 'The Illusionists - Witness the Impossible' ran from 2014-11-30 to 2015-01-04. It had an average weekly revenue of $1,359,511.33 and a total revenue of $8,157,068.00."
Once,"The show 'Once' ran from 2012-03-04 to 2015-01-04. It had an average weekly revenue of $740,313.96 and a total revenue of $110,306,780.00."
Pippin,"The show 'Pippin' ran from 2013-03-24 to 2015-01-04. It had an average weekly revenue of $732,341.21 and a total revenue of $68,840,074.00."
The Real Thing,"The show 'The Real Thing' ran from 2000-04-02 to 2015-01-04. It had an average weekly revenue of $348,828.65 and a total revenue of $11,860,174.00."
Side Show,"The show 'Side Show' ran from 1997-09-21 to 2015-01-04. It had an average weekly revenue of $356,858.15 and a total revenue of $9,278,312.00."
The Temptations & The Four Tops On Broadway,"The show 'The Temptations & The Four Tops On Broadway' ran from 2015-01-04 to 2015-01-04. It had an average weekly revenue of $819,461.00 and a total revenue of $819,461.00."
This Is Our Youth,"The show 'This Is Our Youth' ran from 2014-08-24 to 2015-01-04. It had an average weekly revenue of $361,466.20 and a total revenue of $7,229,324.00."
Love Letters,"The show 'Love Letters' ran from 1989-11-05 to 2014-12-14. It had an average weekly revenue of $183,166.04 and a total revenue of $4,762,317.00."
The Country House,"The show 'The Country House' ran from 2014-09-14 to 2014-11-23. It had an average weekly revenue of $216,720.73 and a total revenue of $2,383,928.00."
Lady Day at Emerson's Bar and Grill,"The show 'Lady Day at Emerson's Bar and Grill' ran from 2014-03-30 to 2014-10-05. It had an average weekly revenue of $521,682.96 and a total revenue of $14,085,440.00."
Bullets Over Broadway,"The show 'Bullets Over Broadway' ran from 2014-03-16 to 2014-08-24. It had an average weekly revenue of $748,701.74 and a total revenue of $17,220,140.00."
Newsies,"The show 'Newsies' ran from 2012-03-18 to 2014-08-24. It had an average weekly revenue of $853,077.67 and a total revenue of $108,340,864.00."
Rocky,"The show 'Rocky' ran from 2014-02-16 to 2014-08-17. It had an average weekly revenue of $711,929.63 and a total revenue of $19,222,100.00."
Violet,"The show 'Violet' ran from 2014-03-30 to 2014-08-10. It had an average weekly revenue of $330,830.90 and a total revenue of $6,616,618.00."
Of Mice and Men,"The show 'Of Mice and Men' ran from 2014-03-23 to 2014-07-27. It had an average weekly revenue of $838,879.16 and a total revenue of $15,938,704.00."
The Cripple of Inishmaan,"The show 'The Cripple of Inishmaan' ran from 2014-04-13 to 2014-07-20. It had an average weekly revenue of $523,041.13 and a total revenue of $7,845,617.00."
Holler If Ya Hear Me,"The show 'Holler If Ya Hear Me' ran from 2014-06-08 to 2014-07-20. It had an average weekly revenue of $172,782.57 and a total revenue of $1,209,478.00."
The Realistic Joneses,"The show 'The Realistic Joneses' ran from 2014-03-16 to 2014-07-06. It had an average weekly revenue of $482,927.12 and a total revenue of $8,209,761.00."
After Midnight,"The show 'After Midnight' ran from 2013-10-20 to 2014-06-29. It had an average weekly revenue of $573,901.41 and a total revenue of $21,234,352.00."
All The Way,"The show 'All The Way' ran from 2014-02-16 to 2014-06-29. It had an average weekly revenue of $974,636.30 and a total revenue of $19,492,726.00."
Casa Valentina,"The show 'Casa Valentina' ran from 2014-04-06 to 2014-06-29. It had an average weekly revenue of $232,958.77 and a total revenue of $3,028,464.00."
Mothers and Sons,"The show 'Mothers and Sons' ran from 2014-02-23 to 2014-06-22. It had an average weekly revenue of $197,689.22 and a total revenue of $3,558,406.00."
Act One,"The show 'Act One' ran from 2014-03-23 to 2014-06-15. It had an average weekly revenue of $366,236.00 and a total revenue of $4,761,068.00."
A Raisin in the Sun,"The show 'A Raisin in the Sun' ran from 2004-04-04 to 2014-06-15. It had an average weekly revenue of $806,486.30 and a total revenue of $24,194,589.00."
The Bridges of Madison County,"The show 'The Bridges of Madison County' ran from 2014-01-19 to 2014-05-18. It had an average weekly revenue of $373,885.06 and a total revenue of $6,729,931.00."
The Velocity of Autumn,"The show 'The Velocity of Autumn' ran from 2014-04-06 to 2014-05-04. It had an average weekly revenue of $108,923.40 and a total revenue of $544,617.00."
No Man's Land / Waiting for Godot,"The show 'No Man's Land / Waiting for Godot' ran from 2013-10-27 to 2014-03-30. It had an average weekly revenue of $623,761.30 and a total revenue of $14,346,510.00."
Outside Mullingar,"The show 'Outside Mullingar' ran from 2014-01-05 to 2014-03-16. It had an average weekly revenue of $304,707.00 and a total revenue of $3,351,777.00."
Bronx Bombers,"The show 'Bronx Bombers' ran from 2014-01-12 to 2014-03-02. It had an average weekly revenue of $151,507.38 and a total revenue of $1,212,059.00."
Machinal,"The show 'Machinal' ran from 2013-12-22 to 2014-03-02. It had an average weekly revenue of $193,023.27 and a total revenue of $2,123,256.00."
Twelfth Night / Richard III,"The show 'Twelfth Night / Richard III' ran from 2013-10-20 to 2014-02-16. It had an average weekly revenue of $773,942.50 and a total revenue of $13,930,965.00."
A Night With Janis Joplin,"The show 'A Night With Janis Joplin' ran from 2013-09-22 to 2014-02-09. It had an average weekly revenue of $344,502.19 and a total revenue of $7,234,546.00."
700 Sundays,"The show '700 Sundays' ran from 2004-11-14 to 2014-01-05. It had an average weekly revenue of $842,873.08 and a total revenue of $32,029,177.00."
Annie,"The show 'Annie' ran from 1997-03-16 to 2014-01-05. It had an average weekly revenue of $733,317.85 and a total revenue of $70,398,514.00."
First Date,"The show 'First Date' ran from 2013-07-14 to 2014-01-05. It had an average weekly revenue of $385,332.35 and a total revenue of $10,018,641.00."
Spider-Man Turn Off the Dark,"The show 'Spider-Man Turn Off the Dark' ran from 2010-11-28 to 2014-01-05. It had an average weekly revenue of $1,325,257.47 and a total revenue of $210,715,937.00."
Big Fish,"The show 'Big Fish' ran from 2013-09-08 to 2013-12-29. It had an average weekly revenue of $638,717.29 and a total revenue of $10,858,194.00."
The Snow Geese,"The show 'The Snow Geese' ran from 2013-10-06 to 2013-12-15. It had an average weekly revenue of $216,016.64 and a total revenue of $2,376,183.00."
Romeo and Juliet,"The show 'Romeo and Juliet' ran from 2013-08-25 to 2013-12-08. It had an average weekly revenue of $388,049.88 and a total revenue of $6,208,798.00."
The Winslow Boy,"The show 'The Winslow Boy' ran from 2013-09-22 to 2013-12-01. It had an average weekly revenue of $217,481.82 and a total revenue of $2,392,300.00."
Il Divo – A Musical Affair: The Greatest Songs of Broadway,"The show 'Il Divo – A Musical Affair: The Greatest Songs of Broadway' ran from 2013-11-17 to 2013-11-17. It had an average weekly revenue of $1,308,223.00 and a total revenue of $1,308,223.00."
A Time to Kill,"The show 'A Time to Kill' ran from 2013-09-29 to 2013-11-17. It had an average weekly revenue of $215,070.00 and a total revenue of $1,720,560.00."
Soul Doctor,"The show 'Soul Doctor' ran from 2013-07-21 to 2013-10-13. It had an average weekly revenue of $149,266.08 and a total revenue of $1,940,459.00."
The Trip to Bountiful,"The show 'The Trip to Bountiful' ran from 2013-03-31 to 2013-10-13. It had an average weekly revenue of $465,480.86 and a total revenue of $13,498,945.00."
Forever Tango,"The show 'Forever Tango' ran from 1997-06-22 to 2013-09-15. It had an average weekly revenue of $232,912.84 and a total revenue of $19,098,853.00."
Let It Be,"The show 'Let It Be' ran from 2013-07-21 to 2013-09-01. It had an average weekly revenue of $362,256.71 and a total revenue of $2,535,797.00."
Vanya and Sonia and Masha and Spike,"The show 'Vanya and Sonia and Masha and Spike' ran from 2013-03-10 to 2013-08-25. It had an average weekly revenue of $525,264.50 and a total revenue of $12,606,348.00."
The Nance,"The show 'The Nance' ran from 2013-03-24 to 2013-08-11. It had an average weekly revenue of $407,767.90 and a total revenue of $8,563,126.00."
The Assembled Parties,"The show 'The Assembled Parties' ran from 2013-03-24 to 2013-07-28. It had an average weekly revenue of $284,318.74 and a total revenue of $5,402,056.00."
Lucky Guy,"The show 'Lucky Guy' ran from 2013-03-03 to 2013-07-07. It had an average weekly revenue of $1,210,112.89 and a total revenue of $22,992,145.00."
Ann,"The show 'Ann' ran from 2013-02-24 to 2013-06-30. It had an average weekly revenue of $276,396.68 and a total revenue of $5,251,537.00."
I'll Eat You Last: A Chat With Sue Mengers,"The show 'I'll Eat You Last: A Chat With Sue Mengers' ran from 2013-04-07 to 2013-06-30. It had an average weekly revenue of $735,498.23 and a total revenue of $9,561,477.00."
Nice Work If You Can Get It,"The show 'Nice Work If You Can Get It' ran from 2012-04-01 to 2013-06-16. It had an average weekly revenue of $804,089.78 and a total revenue of $51,461,746.00."
The Big Knife,"The show 'The Big Knife' ran from 2013-03-24 to 2013-06-02. It had an average weekly revenue of $212,514.91 and a total revenue of $2,337,664.00."
Orphans,"The show 'Orphans' ran from 2013-03-31 to 2013-05-19. It had an average weekly revenue of $507,014.62 and a total revenue of $4,056,117.00."
Jekyll & Hyde,"The show 'Jekyll & Hyde' ran from 1997-03-23 to 2013-05-12. It had an average weekly revenue of $392,815.23 and a total revenue of $80,527,123.00."
The Rascals: Once Upon a Dream,"The show 'The Rascals: Once Upon a Dream' ran from 2013-04-21 to 2013-05-05. It had an average weekly revenue of $748,597.67 and a total revenue of $2,245,793.00."
The Testament of Mary,"The show 'The Testament of Mary' ran from 2013-03-31 to 2013-05-05. It had an average weekly revenue of $213,300.50 and a total revenue of $1,279,803.00."
Breakfast at Tiffany's,"The show 'Breakfast at Tiffany's' ran from 2013-03-10 to 2013-04-21. It had an average weekly revenue of $353,705.29 and a total revenue of $2,475,937.00."
Hands on a Hardbody,"The show 'Hands on a Hardbody' ran from 2013-02-24 to 2013-04-14. It had an average weekly revenue of $199,678.50 and a total revenue of $1,597,428.00."
Cat on a Hot Tin Roof,"The show 'Cat on a Hot Tin Roof' ran from 1990-03-18 to 2013-03-31. It had an average weekly revenue of $517,197.43 and a total revenue of $39,307,005.00."
The Mystery of Edwin Drood,"The show 'The Mystery of Edwin Drood' ran from 1985-11-17 to 2013-03-10. It had an average weekly revenue of $281,848.19 and a total revenue of $28,184,819.00."
Manilow on Broadway,"The show 'Manilow on Broadway' ran from 2013-01-20 to 2013-03-03. It had an average weekly revenue of $693,452.67 and a total revenue of $4,160,716.00."
Mary Poppins,"The show 'Mary Poppins' ran from 2006-10-15 to 2013-03-03. It had an average weekly revenue of $881,912.12 and a total revenue of $294,558,648.00."
The Other Place,"The show 'The Other Place' ran from 2012-12-16 to 2013-03-03. It had an average weekly revenue of $239,705.50 and a total revenue of $2,876,466.00."
Picnic,"The show 'Picnic' ran from 1994-04-03 to 2013-02-24. It had an average weekly revenue of $167,488.10 and a total revenue of $3,349,762.00."
The Heiress,"The show 'The Heiress' ran from 1995-02-26 to 2013-02-10. It had an average weekly revenue of $345,798.17 and a total revenue of $14,177,725.00."
Evita,"The show 'Evita' ran from 2012-03-18 to 2013-01-27. It had an average weekly revenue of $1,145,177.72 and a total revenue of $52,678,175.00."
Glengarry Glen Ross,"The show 'Glengarry Glen Ross' ran from 2005-04-10 to 2013-01-20. It had an average weekly revenue of $652,409.63 and a total revenue of $22,834,337.00."
Golden Boy,"The show 'Golden Boy' ran from 2012-11-11 to 2013-01-20. It had an average weekly revenue of $282,422.45 and a total revenue of $3,106,647.00."
Peter and the Starcatcher,"The show 'Peter and the Starcatcher' ran from 2012-04-01 to 2013-01-20. It had an average weekly revenue of $411,601.26 and a total revenue of $17,698,854.00."
Chaplin,"The show 'Chaplin' ran from 2012-08-26 to 2013-01-06. It had an average weekly revenue of $425,919.50 and a total revenue of $8,518,390.00."
Dead Accounts,"The show 'Dead Accounts' ran from 2012-11-11 to 2013-01-06. It had an average weekly revenue of $343,314.11 and a total revenue of $3,089,827.00."
Elf,"The show 'Elf' ran from 2010-11-07 to 2013-01-06. It had an average weekly revenue of $1,005,087.06 and a total revenue of $17,086,480.00."
Grace,"The show 'Grace' ran from 2012-09-16 to 2013-01-06. It had an average weekly revenue of $381,120.88 and a total revenue of $6,479,055.00."
War Horse,"The show 'War Horse' ran from 2011-03-20 to 2013-01-06. It had an average weekly revenue of $789,213.19 and a total revenue of $74,975,253.00."
Bring It On: The Musical,"The show 'Bring It On: The Musical' ran from 2012-07-15 to 2012-12-30. It had an average weekly revenue of $456,407.08 and a total revenue of $11,410,177.00."
A Christmas Story The Musical,"The show 'A Christmas Story The Musical' ran from 2012-11-11 to 2012-12-30. It had an average weekly revenue of $1,079,193.38 and a total revenue of $8,633,547.00."
The Anarchist,"The show 'The Anarchist' ran from 2012-11-18 to 2012-12-16. It had an average weekly revenue of $330,282.20 and a total revenue of $1,651,411.00."
Scandalous: The Life and Trials of Aimee Semple McPherson,"The show 'Scandalous: The Life and Trials of Aimee Semple McPherson' ran from 2012-10-14 to 2012-12-09. It had an average weekly revenue of $190,991.56 and a total revenue of $1,718,924.00."
Cyrano de Bergerac,"The show 'Cyrano de Bergerac' ran from 2007-10-14 to 2012-11-25. It had an average weekly revenue of $436,143.29 and a total revenue of $10,467,439.00."
The Performers,"The show 'The Performers' ran from 2012-10-28 to 2012-11-18. It had an average weekly revenue of $184,304.75 and a total revenue of $737,219.00."
Lewis Black: Running On Empty,"The show 'Lewis Black: Running On Empty' ran from 2012-10-14 to 2012-10-21. It had an average weekly revenue of $498,838.00 and a total revenue of $997,676.00."
Porgy and Bess,"The show 'Porgy and Bess' ran from 2011-12-18 to 2012-09-23. It had an average weekly revenue of $643,450.07 and a total revenue of $26,381,453.00."
The Best Man,"The show 'The Best Man' ran from 2000-09-10 to 2012-09-09. It had an average weekly revenue of $552,918.66 and a total revenue of $24,328,421.00."
Clybourne Park,"The show 'Clybourne Park' ran from 2012-04-01 to 2012-09-02. It had an average weekly revenue of $382,243.36 and a total revenue of $8,409,354.00."
One Man Two Guvnors,"The show 'One Man Two Guvnors' ran from 2012-04-08 to 2012-09-02. It had an average weekly revenue of $594,155.27 and a total revenue of $13,071,416.00."
Sister Act,"The show 'Sister Act' ran from 2011-03-27 to 2012-08-26. It had an average weekly revenue of $700,123.16 and a total revenue of $52,509,237.00."
End of the Rainbow,"The show 'End of the Rainbow' ran from 2012-03-25 to 2012-08-19. It had an average weekly revenue of $311,639.45 and a total revenue of $6,856,068.00."
Ghost The Musical,"The show 'Ghost The Musical' ran from 2012-03-18 to 2012-08-19. It had an average weekly revenue of $579,977.04 and a total revenue of $13,339,472.00."
Mike Tyson: Undisputed Truth,"The show 'Mike Tyson: Undisputed Truth' ran from 2012-08-05 to 2012-08-12. It had an average weekly revenue of $602,309.00 and a total revenue of $1,204,618.00."
Fela!,"The show 'Fela!' ran from 2009-10-25 to 2012-08-05. It had an average weekly revenue of $499,064.52 and a total revenue of $32,938,258.00."
Harvey,"The show 'Harvey' ran from 2012-05-20 to 2012-08-05. It had an average weekly revenue of $566,900.83 and a total revenue of $6,802,810.00."
Memphis,"The show 'Memphis' ran from 2009-09-27 to 2012-08-05. It had an average weekly revenue of $693,709.49 and a total revenue of $102,669,004.00."
A Streetcar Named Desire,"The show 'A Streetcar Named Desire' ran from 1988-02-21 to 2012-07-22. It had an average weekly revenue of $255,279.45 and a total revenue of $16,848,444.00."
Anything Goes,"The show 'Anything Goes' ran from 1987-09-13 to 2012-07-08. It had an average weekly revenue of $444,003.13 and a total revenue of $76,812,541.00."
The Columnist,"The show 'The Columnist' ran from 2012-04-08 to 2012-07-08. It had an average weekly revenue of $250,363.29 and a total revenue of $3,505,086.00."
Jesus Christ Superstar,"The show 'Jesus Christ Superstar' ran from 2000-03-26 to 2012-07-01. It had an average weekly revenue of $527,795.86 and a total revenue of $22,167,426.00."
The Lyons,"The show 'The Lyons' ran from 2012-04-08 to 2012-07-01. It had an average weekly revenue of $193,007.00 and a total revenue of $2,509,091.00."
Godspell,"The show 'Godspell' ran from 2011-10-16 to 2012-06-24. It had an average weekly revenue of $300,163.11 and a total revenue of $11,106,035.00."
Priscilla Queen of the Desert,"The show 'Priscilla Queen of the Desert' ran from 2011-03-06 to 2012-06-24. It had an average weekly revenue of $706,723.20 and a total revenue of $48,763,901.00."
Don't Dress For Dinner,"The show 'Don't Dress For Dinner' ran from 2012-04-01 to 2012-06-17. It had an average weekly revenue of $177,505.83 and a total revenue of $2,130,070.00."
